method,endpoint,sample_idx,comp_valid,Struct_valid,SUN,MSUN,terminal_verified,terminal_status,terminal_energy_eV_atom,hull_energy_eV_atom,energy_above_hull_eV_atom
H1A2_D1,native,0,1,1,0,1,1,verified,-3.960361957550049,-4.009571855,0.04920989744995108
H1A2_D1,native,1,0,0,0,0,0,invalid_raw,,-5.484713445875,
H1A2_D1,native,2,1,0,0,0,0,invalid_raw,,-8.10237906,
H1A2_D1,native,3,1,1,0,0,0,not_converged,2.7574548721313477,-5.502003777666669,8.259458649798017
H1A2_D1,native,4,1,1,0,0,0,invalid_terminal,2.247687339782715,-5.1133663415625,7.361053681345215
H1A2_D1,native,5,1,1,0,0,0,not_converged,-4.814653396606445,-4.94716338,0.1325099833935548
H1A2_D1,native,6,1,0,0,0,0,invalid_raw,,-6.6907331475,
H1A2_D1,native,7,1,0,0,0,0,invalid_raw,,-7.983832712916669,
H1A2_D1,native,8,1,1,0,0,1,verified,-7.355711936950684,-7.544244481600023,0.18853254464933933
H1A2_D1,native,9,1,1,0,1,1,verified,-3.5889904499053955,-3.674296835,0.08530638509460431
H1A2_D1,native,10,0,0,0,0,0,generation_failure,,,
H1A2_D1,native,11,1,0,0,0,0,invalid_raw,,-6.32724859,
H1A2_D1,native,12,1,0,0,0,0,invalid_raw,,-7.231575101875001,
H1A2_D1,native,13,1,0,0,0,0,invalid_raw,,-5.422083512500001,
H1A2_D1,native,14,1,0,0,0,0,invalid_raw,,-8.181623782678573,
H1A2_D1,native,15,1,1,0,1,0,not_converged,-4.005205154418945,-4.015411599782609,0.010206445363663441
H1A2_D1,native,16,1,0,0,0,0,invalid_raw,,-6.0005053638999994,
H1A2_D1,native,17,1,1,0,0,1,verified,-5.269165992736816,-5.469683520375,0.20051752763818342
H1A2_D1,native,18,1,0,0,0,0,invalid_raw,,-8.166425333333333,
H1A2_D1,native,19,1,1,0,1,1,verified,-4.523014068603516,-4.605035153,0.08202108439648459
H1A2_D1,native,20,0,0,0,0,0,invalid_raw,,-3.4543984520833377,
H1A2_D1,native,21,0,1,0,0,0,not_converged,3.3791074752807617,-7.4114072349999995,10.79051471028076
H1A2_D1,native,22,1,0,0,0,0,invalid_raw,,-3.3465349425277786,
H1A2_D1,native,23,1,1,0,0,0,invalid_terminal,-5.499341011047363,-8.534775392125006,3.0354343810776427
H1A2_D1,native,24,1,0,0,0,0,invalid_raw,,-6.401275155714295,
H1A2_D1,native,25,1,0,0,0,0,invalid_raw,,-6.030186345714284,
H1A2_D1,native,26,1,1,0,0,0,not_converged,-3.8003506660461426,-4.065101285,0.2647506189538573
H1A2_D1,native,27,1,0,0,0,0,invalid_raw,,-8.277995374,
H1A2_D1,native,28,1,1,0,0,0,invalid_terminal,-6.210676670074463,-8.57344580767046,2.362769137595997
H1A2_D1,native,29,1,1,0,0,1,verified,-6.8237504959106445,-7.12852853,0.3047780340893551
H1A2_D1,native,30,1,1,1,1,0,not_converged,-4.0394158363342285,-3.8562598855555557,-0.18315595077867286
H1A2_D1,native,31,1,0,0,0,0,invalid_raw,,-8.350202123333334,
H1A2_D1,native,32,1,0,0,0,0,invalid_raw,,-6.198551154940477,
H1A2_D1,native,33,0,1,0,0,0,not_converged,1.2967464923858643,-3.2407750545000003,4.5375215468858645
H1A2_D1,native,34,0,1,0,0,0,not_converged,-4.3923726081848145,-4.497636578833335,0.10526397064852056
H1A2_D1,native,35,1,0,0,0,0,invalid_raw,,-8.14310139134375,
H1A2_D1,native,36,1,0,0,0,0,invalid_raw,,-8.724391128,
H1A2_D1,native,37,1,1,0,0,1,verified,-1.5258640050888062,-1.952378300000003,0.42651429491119686
H1A2_D1,native,38,1,1,0,1,0,not_converged,-4.6931939125061035,-4.709098998333333,0.015905085827229826
H1A2_D1,native,39,1,0,0,0,0,invalid_raw,,-5.915836890166664,
H1A2_D1,native,40,0,0,0,0,0,invalid_raw,,-3.802641151785714,
H1A2_D1,native,41,1,1,0,1,1,verified,-1.932132363319397,-1.9542531603125,0.022120796993102987
H1A2_D1,native,42,1,1,0,0,0,not_converged,-5.335301876068115,-6.512465919583322,1.1771640435152069
H1A2_D1,native,43,1,0,0,0,0,invalid_raw,,-5.850719717335528,
H1A2_D1,native,44,1,0,0,0,0,invalid_raw,,-3.8430903599999997,
