cohort,theta,stage,requested,comp_valid,Struct_valid,SUN,MSUN,comp_valid_percent,Struct_valid_percent,SUN_percent,MSUN_percent
MAIN,0,construction,256,199,223,5,32,77.734375,87.109375,1.953125,12.5
MAIN,0,refined,256,199,223,17,102,77.734375,87.109375,6.640625,39.84375
MAIN,0,tokenized,256,199,223,18,101,77.734375,87.109375,7.03125,39.453125
MAIN,0,edited,256,199,223,18,101,77.734375,87.109375,7.03125,39.453125
MAIN,0,baselines/H1A2_raw,256,223,107,3,23,87.109375,41.796875,1.171875,8.984375
MAIN,0,baselines/H1A2,256,223,253,14,114,87.109375,98.828125,5.46875,44.53125
MAIN,0,baselines/R03_raw,256,222,115,6,31,86.71875,44.921875,2.34375,12.109375
MAIN,0,baselines/R03,256,222,252,18,112,86.71875,98.4375,7.03125,43.75
FIT,0,construction,256,184,229,4,36,71.875,89.453125,1.5625,14.0625
FIT,0,refined,256,184,229,25,110,71.875,89.453125,9.765625,42.96875
FIT,0,tokenized,256,184,229,26,106,71.875,89.453125,10.15625,41.40625
FIT,0,edited,256,184,229,26,106,71.875,89.453125,10.15625,41.40625
MAIN,1,construction,256,224,254,4,33,87.5,99.21875,1.5625,12.890625
MAIN,1,refined,256,224,254,21,112,87.5,99.21875,8.203125,43.75
MAIN,1,tokenized,256,224,254,21,110,87.5,99.21875,8.203125,42.96875
MAIN,1,edited,256,224,254,21,110,87.5,99.21875,8.203125,42.96875
FIT,1,construction,256,201,253,7,32,78.515625,98.828125,2.734375,12.5
FIT,1,refined,256,201,253,29,120,78.515625,98.828125,11.328125,46.875
FIT,1,tokenized,256,201,253,31,119,78.515625,98.828125,12.109375,46.484375
FIT,1,edited,256,201,253,32,121,78.515625,98.828125,12.5,47.265625
MAIN,2,construction,256,225,255,8,35,87.890625,99.609375,3.125,13.671875
MAIN,2,refined,256,225,255,23,119,87.890625,99.609375,8.984375,46.484375
MAIN,2,tokenized,256,225,255,23,114,87.890625,99.609375,8.984375,44.53125
MAIN,2,edited,256,225,255,23,114,87.890625,99.609375,8.984375,44.53125
FIT,2,construction,256,204,256,4,29,79.6875,100.0,1.5625,11.328125
FIT,2,refined,256,204,256,29,117,79.6875,100.0,11.328125,45.703125
FIT,2,tokenized,256,204,256,30,114,79.6875,100.0,11.71875,44.53125
FIT,2,edited,256,204,256,30,119,79.6875,100.0,11.71875,46.484375
MAIN,3,construction,256,225,256,7,37,87.890625,100.0,2.734375,14.453125
MAIN,3,refined,256,225,255,21,100,87.890625,99.609375,8.203125,39.0625
MAIN,3,tokenized,256,225,256,21,99,87.890625,100.0,8.203125,38.671875
MAIN,3,edited,256,225,256,21,99,87.890625,100.0,8.203125,38.671875
FIT,3,construction,256,204,256,4,33,79.6875,100.0,1.5625,12.890625
FIT,3,refined,256,204,256,32,117,79.6875,100.0,12.5,45.703125
FIT,3,tokenized,256,204,256,32,114,79.6875,100.0,12.5,44.53125
FIT,3,edited,256,204,256,32,116,79.6875,100.0,12.5,45.3125
