sample_idx,group_id,formula,N,arity,reference_native:reconstructed,reference_native:novel,reference_native:unique_representative,reference_native:novel_unique,reference_native:terminal_verified,reference_native:strict_stable,reference_native:meta_stable,reference_native:strict_sun,reference_native:meta_sun,reference_native:verified_strict_sun,reference_native:verified_meta_sun,reference_native:terminal_status,reference_native:official_hull_status,reference_native:e_above_hull_eV_atom,reference_tau:reconstructed,reference_tau:novel,reference_tau:unique_representative,reference_tau:novel_unique,reference_tau:terminal_verified,reference_tau:strict_stable,reference_tau:meta_stable,reference_tau:strict_sun,reference_tau:meta_sun,reference_tau:verified_strict_sun,reference_tau:verified_meta_sun,reference_tau:terminal_status,reference_tau:official_hull_status,reference_tau:e_above_hull_eV_atom,k4_native:reconstructed,k4_native:novel,k4_native:unique_representative,k4_native:novel_unique,k4_native:terminal_verified,k4_native:strict_stable,k4_native:meta_stable,k4_native:strict_sun,k4_native:meta_sun,k4_native:verified_strict_sun,k4_native:verified_meta_sun,k4_native:terminal_status,k4_native:official_hull_status,k4_native:e_above_hull_eV_atom,k4_tau:reconstructed,k4_tau:novel,k4_tau:unique_representative,k4_tau:novel_unique,k4_tau:terminal_verified,k4_tau:strict_stable,k4_tau:meta_stable,k4_tau:strict_sun,k4_tau:meta_sun,k4_tau:verified_strict_sun,k4_tau:verified_meta_sun,k4_tau:terminal_status,k4_tau:official_hull_status,k4_tau:e_above_hull_eV_atom,k8_native:reconstructed,k8_native:novel,k8_native:unique_representative,k8_native:novel_unique,k8_native:terminal_verified,k8_native:strict_stable,k8_native:meta_stable,k8_native:strict_sun,k8_native:meta_sun,k8_native:verified_strict_sun,k8_native:verified_meta_sun,k8_native:terminal_status,k8_native:official_hull_status,k8_native:e_above_hull_eV_atom,k8_tau:reconstructed,k8_tau:novel,k8_tau:unique_representative,k8_tau:novel_unique,k8_tau:terminal_verified,k8_tau:strict_stable,k8_tau:meta_stable,k8_tau:strict_sun,k8_tau:meta_sun,k8_tau:verified_strict_sun,k8_tau:verified_meta_sun,k8_tau:terminal_status,k8_tau:official_hull_status,k8_tau:e_above_hull_eV_atom,g_native:reconstructed,g_native:novel,g_native:unique_representative,g_native:novel_unique,g_native:terminal_verified,g_native:strict_stable,g_native:meta_stable,g_native:strict_sun,g_native:meta_sun,g_native:verified_strict_sun,g_native:verified_meta_sun,g_native:terminal_status,g_native:official_hull_status,g_native:e_above_hull_eV_atom,g_tau:reconstructed,g_tau:novel,g_tau:unique_representative,g_tau:novel_unique,g_tau:terminal_verified,g_tau:strict_stable,g_tau:meta_stable,g_tau:strict_sun,g_tau:meta_sun,g_tau:verified_strict_sun,g_tau:verified_meta_sun,g_tau:terminal_status,g_tau:official_hull_status,g_tau:e_above_hull_eV_atom
0,eval:0,O8K8Zn4,20,3,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,2.8048793282181395,True,True,True,True,False,True,True,True,True,False,False,not_converged,known,-0.00443706849511738,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.5804888214737547,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.07988586088720684,False,False,False,False,False,False,False,False,False,False,False,generation_failure,input_not_reconstructed,,False,False,False,False,False,False,False,False,False,False,False,generation_failure,input_not_reconstructed,,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.7253221478134764,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.04944362303320293
1,eval:1,PrPu,2,2,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.29840272792480427,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.2686700237622066,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.29840272792480427,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.2686700237622066,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.29840272792480427,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.2686700237622066,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.28647035487792927,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.26876825221679645
2,eval:2,O4MgZnSr,7,4,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.45269377534964494,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.401222541981725,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.3827274591265004,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.23102791612723284,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.3827279359636586,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.22950156038382463,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.38248904054739885,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.2995770723161977
3,eval:3,O7Cu2Sr2Ba2,13,4,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.21973406526340078,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.11345373842013906,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,4.934425704209934,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.09591662141574453,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,3.0547677204300268,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.06943451616061758,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.30942188951266836,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.055123202531467186
4,eval:4,P4Se8Ag4,16,3,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,4.670370440660401,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.05263410109130895,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,4.918289046464844,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.0923150588854984,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,2.6287888099536136,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.06704268950073278,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.16362677115051305,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.0814665366992191
5,eval:5,O8Cr4Ag4,16,3,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.32056847132689104,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.20602312602049455,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.5265130094433461,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.4230889371777211,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.36237946070677385,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.259439378156725,True,True,True,True,False,False,False,False,False,False,False,invalid_raw,known,,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.38162127055174455
6,eval:6,Cu3In3Pr3,9,3,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.0835668052969023,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.08468641894436324,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,0.11474718707180465,True,False,True,False,False,True,True,False,False,False,False,not_converged,known,-0.0180419479074434,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.2114654983816191,True,False,True,False,False,True,True,False,False,False,False,not_converged,known,-0.01807532650851762,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.06338562625027144,True,False,True,False,False,True,True,False,False,False,False,not_converged,known,-0.018244126862521526
7,eval:7,S8Cu4Ho4,16,3,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.9659117974523816,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.03253500835936407,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,1.0655826844457899,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.04100029842894415,True,True,True,True,False,False,False,False,False,False,False,not_converged,known,4.544598988461903,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.022374562192371883,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.13007157223265509,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.08767979519408087
8,eval:8,Ni4Sn8,12,2,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,5.052023825373942,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.04581159087687148,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,6.1459187838700355,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.06991713973551406,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.021305498805338274,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.008060869899088274,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,9.781905588832194,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.0981821391251625
9,eval:9,O8KBa3Bi3,15,4,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,5.4885648477001485,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.0851343858166036,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.09816396116450399,True,True,True,True,True,False,True,False,True,False,True,verified,known,0.08325326322749227,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,4.805286763898879,True,True,True,True,False,False,True,False,True,False,False,not_converged,known,0.09880292295649618,True,True,True,True,False,False,False,False,False,False,False,invalid_terminal,known,0.7068408715648946,True,True,True,True,True,False,False,False,False,False,False,verified,known,0.10910498975947469
