endpoint,feature,band,n,reconstructed,novel,unique_representative,novel_unique,terminal_verified,strict_stable,meta_stable,strict_sun,meta_sun,verified_strict_sun,verified_meta_sun,known_hull,known_finite_terminal,statuses
reference_native,N,2-4,56,56,55,55,54,23,6,30,5,29,1,13,53,53,"{""invalid_terminal"": 1, ""not_converged"": 32, ""verified"": 23}"
reference_native,N,5-8,60,60,60,60,60,20,0,13,0,13,0,6,59,59,"{""invalid_terminal"": 13, ""not_converged"": 27, ""verified"": 20}"
reference_native,N,9-12,59,59,59,59,59,13,0,10,0,10,0,6,57,57,"{""invalid_terminal"": 28, ""not_converged"": 18, ""verified"": 13}"
reference_native,N,13-20,81,80,80,80,80,7,1,3,1,3,0,1,78,78,"{""generation_failure"": 1, ""invalid_terminal"": 52, ""not_converged"": 21, ""verified"": 7}"
reference_native,arity,1-2,54,54,54,54,54,16,2,16,2,16,1,7,49,49,"{""invalid_terminal"": 17, ""not_converged"": 21, ""verified"": 16}"
reference_native,arity,3,147,146,145,145,144,38,4,33,3,32,0,14,143,143,"{""generation_failure"": 1, ""invalid_terminal"": 49, ""not_converged"": 59, ""verified"": 38}"
reference_native,arity,4+,55,55,55,55,55,9,1,7,1,7,0,5,55,55,"{""invalid_terminal"": 28, ""not_converged"": 18, ""verified"": 9}"
reference_native,volume_per_atom_A3,<5,4,4,4,4,4,0,1,1,1,1,0,0,4,4,"{""invalid_terminal"": 4}"
reference_native,volume_per_atom_A3,5-10,25,25,25,25,25,4,0,1,0,1,0,0,25,25,"{""invalid_terminal"": 15, ""not_converged"": 6, ""verified"": 4}"
reference_native,volume_per_atom_A3,10-20,135,135,134,135,134,30,2,25,2,25,0,12,132,132,"{""invalid_terminal"": 56, ""not_converged"": 49, ""verified"": 30}"
reference_native,volume_per_atom_A3,20-40,80,80,80,79,79,25,4,26,3,25,1,13,76,76,"{""invalid_terminal"": 18, ""not_converged"": 37, ""verified"": 25}"
reference_native,volume_per_atom_A3,>=40,11,11,11,11,11,4,0,3,0,3,0,1,10,10,"{""invalid_terminal"": 1, ""not_converged"": 6, ""verified"": 4}"
reference_native,min_distance_A,<0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{}
reference_native,min_distance_A,0.5-1,133,133,133,133,133,11,1,11,1,11,0,3,130,130,"{""invalid_terminal"": 92, ""not_converged"": 30, ""verified"": 11}"
reference_native,min_distance_A,1-1.5,58,58,58,58,58,19,2,15,2,15,1,7,58,58,"{""invalid_terminal"": 2, ""not_converged"": 37, ""verified"": 19}"
reference_native,min_distance_A,1.5-2,46,46,46,45,45,24,3,26,2,25,0,14,45,45,"{""not_converged"": 22, ""verified"": 24}"
reference_native,min_distance_A,>=2,18,18,17,18,17,9,1,4,1,4,0,2,14,14,"{""not_converged"": 9, ""verified"": 9}"
reference_native,mass_density_g_cm3,<2,7,7,7,7,7,0,0,2,0,2,0,0,7,7,"{""invalid_terminal"": 1, ""not_converged"": 6}"
reference_native,mass_density_g_cm3,2-5,76,76,76,76,76,21,1,15,1,15,1,11,75,75,"{""invalid_terminal"": 30, ""not_converged"": 25, ""verified"": 21}"
reference_native,mass_density_g_cm3,5-10,115,115,114,114,113,31,4,25,3,24,0,11,112,112,"{""invalid_terminal"": 36, ""not_converged"": 48, ""verified"": 31}"
reference_native,mass_density_g_cm3,>=10,57,57,57,57,57,11,2,14,2,14,0,4,53,53,"{""invalid_terminal"": 27, ""not_converged"": 19, ""verified"": 11}"
reference_native,lattice_condition,<2,98,98,98,98,98,17,2,11,2,11,1,4,96,96,"{""invalid_terminal"": 51, ""not_converged"": 30, ""verified"": 17}"
reference_native,lattice_condition,2-4,135,135,134,134,133,42,4,37,3,36,0,19,130,130,"{""invalid_terminal"": 32, ""not_converged"": 61, ""verified"": 42}"
reference_native,lattice_condition,>=4,22,22,22,22,22,4,1,8,1,8,0,3,21,21,"{""invalid_terminal"": 11, ""not_converged"": 7, ""verified"": 4}"
reference_tau,N,2-4,56,56,41,55,41,26,7,37,4,24,1,10,53,53,"{""not_converged"": 30, ""verified"": 26}"
reference_tau,N,5-8,60,60,52,59,52,22,9,34,6,27,4,13,59,59,"{""not_converged"": 38, ""verified"": 22}"
reference_tau,N,9-12,59,59,50,59,50,22,7,39,6,30,4,10,57,57,"{""not_converged"": 37, ""verified"": 22}"
reference_tau,N,13-20,81,80,78,80,78,29,3,42,3,40,1,16,78,78,"{""generation_failure"": 1, ""not_converged"": 51, ""verified"": 29}"
reference_tau,arity,1-2,54,54,42,53,42,20,5,36,3,26,1,8,49,49,"{""not_converged"": 34, ""verified"": 20}"
reference_tau,arity,3,147,146,131,145,131,63,18,86,13,72,7,33,143,143,"{""generation_failure"": 1, ""not_converged"": 83, ""verified"": 63}"
reference_tau,arity,4+,55,55,48,55,48,16,3,30,3,23,2,8,55,55,"{""not_converged"": 39, ""verified"": 16}"
reference_tau,volume_per_atom_A3,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{}
reference_tau,volume_per_atom_A3,5-10,3,3,3,3,3,0,0,2,0,2,0,0,3,3,"{""not_converged"": 3}"
reference_tau,volume_per_atom_A3,10-20,130,130,114,130,114,31,10,66,7,50,1,9,129,129,"{""not_converged"": 99, ""verified"": 31}"
reference_tau,volume_per_atom_A3,20-40,120,120,102,118,102,66,15,82,11,67,8,38,113,113,"{""not_converged"": 54, ""verified"": 66}"
reference_tau,volume_per_atom_A3,>=40,2,2,2,2,2,2,1,2,1,2,1,2,2,2,"{""verified"": 2}"
reference_tau,min_distance_A,<0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{}
reference_tau,min_distance_A,0.5-1,3,3,3,3,3,1,0,0,0,0,0,0,3,3,"{""not_converged"": 2, ""verified"": 1}"
reference_tau,min_distance_A,1-1.5,3,3,3,3,3,1,0,1,0,1,0,0,3,3,"{""not_converged"": 2, ""verified"": 1}"
reference_tau,min_distance_A,1.5-2,64,64,60,64,60,12,3,27,3,23,1,6,64,64,"{""not_converged"": 52, ""verified"": 12}"
reference_tau,min_distance_A,>=2,185,185,155,183,155,85,23,124,16,97,9,43,177,177,"{""not_converged"": 100, ""verified"": 85}"
reference_tau,mass_density_g_cm3,<2,4,4,4,4,4,2,0,2,0,2,0,1,4,4,"{""not_converged"": 2, ""verified"": 2}"
reference_tau,mass_density_g_cm3,2-5,88,88,80,88,80,37,4,46,3,38,2,21,88,88,"{""not_converged"": 51, ""verified"": 37}"
