sample_idx,formula,reference_native:terminal_status,reference_native:terminal_verified,reference_native:official_hull_status,reference_native:e_above_hull_eV_atom,reference_native:strict_stable,reference_native:meta_stable,reference_native:strict_sun,reference_native:meta_sun,reference_native:verified_strict_sun,reference_native:verified_meta_sun,reference_tau:terminal_status,reference_tau:terminal_verified,reference_tau:official_hull_status,reference_tau:e_above_hull_eV_atom,reference_tau:strict_stable,reference_tau:meta_stable,reference_tau:strict_sun,reference_tau:meta_sun,reference_tau:verified_strict_sun,reference_tau:verified_meta_sun,k4_native:terminal_status,k4_native:terminal_verified,k4_native:official_hull_status,k4_native:e_above_hull_eV_atom,k4_native:strict_stable,k4_native:meta_stable,k4_native:strict_sun,k4_native:meta_sun,k4_native:verified_strict_sun,k4_native:verified_meta_sun,k4_tau:terminal_status,k4_tau:terminal_verified,k4_tau:official_hull_status,k4_tau:e_above_hull_eV_atom,k4_tau:strict_stable,k4_tau:meta_stable,k4_tau:strict_sun,k4_tau:meta_sun,k4_tau:verified_strict_sun,k4_tau:verified_meta_sun,k8_native:terminal_status,k8_native:terminal_verified,k8_native:official_hull_status,k8_native:e_above_hull_eV_atom,k8_native:strict_stable,k8_native:meta_stable,k8_native:strict_sun,k8_native:meta_sun,k8_native:verified_strict_sun,k8_native:verified_meta_sun,k8_tau:terminal_status,k8_tau:terminal_verified,k8_tau:official_hull_status,k8_tau:e_above_hull_eV_atom,k8_tau:strict_stable,k8_tau:meta_stable,k8_tau:strict_sun,k8_tau:meta_sun,k8_tau:verified_strict_sun,k8_tau:verified_meta_sun
0,O8K8Zn4,invalid_terminal,False,known,2.8048793282181395,False,False,False,False,False,False,not_converged,False,known,-0.00443706849511738,True,True,True,True,False,False,invalid_terminal,False,known,1.5804888214737547,False,False,False,False,False,False,not_converged,False,known,0.07988586088720684,False,True,False,True,False,False,generation_failure,False,input_not_reconstructed,,False,False,False,False,False,False,generation_failure,False,input_not_reconstructed,,False,False,False,False,False,False
1,PrPu,verified,True,known,0.29840272792480427,False,False,False,False,False,False,verified,True,known,0.2686700237622066,False,False,False,False,False,False,verified,True,known,0.29840272792480427,False,False,False,False,False,False,verified,True,known,0.2686700237622066,False,False,False,False,False,False,verified,True,known,0.29840272792480427,False,False,False,False,False,False,verified,True,known,0.2686700237622066,False,False,False,False,False,False
2,O4MgZnSr,not_converged,False,known,0.45269377534964494,False,False,False,False,False,False,not_converged,False,known,0.401222541981725,False,False,False,False,False,False,not_converged,False,known,0.3827274591265004,False,False,False,False,False,False,not_converged,False,known,0.23102791612723284,False,False,False,False,False,False,not_converged,False,known,0.3827279359636586,False,False,False,False,False,False,not_converged,False,known,0.22950156038382463,False,False,False,False,False,False
3,O7Cu2Sr2Ba2,not_converged,False,known,0.21973406526340078,False,False,False,False,False,False,not_converged,False,known,0.11345373842013906,False,False,False,False,False,False,invalid_terminal,False,known,4.934425704209934,False,False,False,False,False,False,verified,True,known,0.09591662141574453,False,True,False,True,False,True,invalid_terminal,False,known,3.0547677204300268,False,False,False,False,False,False,not_converged,False,known,0.06943451616061758,False,True,False,True,False,False
4,P4Se8Ag4,not_converged,False,known,4.670370440660401,False,False,False,False,False,False,verified,True,known,0.05263410109130895,False,True,False,True,False,True,not_converged,False,known,4.918289046464844,False,False,False,False,False,False,verified,True,known,0.0923150588854984,False,True,False,True,False,True,not_converged,False,known,2.6287888099536136,False,False,False,False,False,False,verified,True,known,0.06704268950073278,False,True,False,True,False,True
5,O8Cr4Ag4,not_converged,False,known,0.32056847132689104,False,False,False,False,False,False,verified,True,known,0.20602312602049455,False,False,False,False,False,False,invalid_terminal,False,known,1.5265130094433461,False,False,False,False,False,False,not_converged,False,known,0.4230889371777211,False,False,False,False,False,False,not_converged,False,known,0.36237946070677385,False,False,False,False,False,False,not_converged,False,known,0.259439378156725,False,False,False,False,False,False
6,Cu3In3Pr3,not_converged,False,known,0.0835668052969023,False,True,False,True,False,False,not_converged,False,known,0.08468641894436324,False,True,False,True,False,False,not_converged,False,known,0.11474718707180465,False,False,False,False,False,False,not_converged,False,known,-0.0180419479074434,True,True,False,False,False,False,verified,True,known,0.2114654983816191,False,False,False,False,False,False,not_converged,False,known,-0.01807532650851762,True,True,False,False,False,False
7,S8Cu4Ho4,invalid_terminal,False,known,0.9659117974523816,False,False,False,False,False,False,not_converged,False,known,0.03253500835936407,False,True,False,True,False,False,invalid_terminal,False,known,1.0655826844457899,False,False,False,False,False,False,verified,True,known,0.04100029842894415,False,True,False,True,False,True,not_converged,False,known,4.544598988461903,False,False,False,False,False,False,not_converged,False,known,0.022374562192371883,False,True,False,True,False,False
8,Ni4Sn8,invalid_terminal,False,known,5.052023825373942,False,False,False,False,False,False,not_converged,False,known,0.04581159087687148,False,True,False,True,False,False,invalid_terminal,False,known,6.1459187838700355,False,False,False,False,False,False,not_converged,False,known,0.06991713973551406,False,True,False,True,False,False,verified,True,known,0.021305498805338274,False,True,False,True,False,True,not_converged,False,known,0.008060869899088274,False,True,False,True,False,False
9,O8KBa3Bi3,invalid_terminal,False,known,5.4885648477001485,False,False,False,False,False,False,verified,True,known,0.0851343858166036,False,True,False,True,False,True,not_converged,False,known,0.09816396116450399,False,True,False,True,False,False,verified,True,known,0.08325326322749227,False,True,False,True,False,True,invalid_terminal,False,known,4.805286763898879,False,False,False,False,False,False,not_converged,False,known,0.09880292295649618,False,True,False,True,False,False
