split,state_id,composition_id,sample_idx,plan_ordinal,milestone,intervention_position,num_atoms,branches,known_returns,direct_valid,known_actions,action_energy_mean,action_energy_std,action_energy_range,cross_continuation_spearman,cross_pair_agreements,cross_pair_comparisons,oxide,sulfide,n13_20
train,00e8230dd0db0e0561d5312e07c498af6ceedffc1775e43f0894300f95efe4cc,12:1|57:2,42,21,0.6,9,6,8,8,8,8,-3.8269623816013336,0.008816142723201158,0.030082225799560547,,0,0,False,False,False
train,014c9acce4f035aabf5745b7df23e79902067133059baa50a15e69b7b8dff22f,7:3|38:1|43:1,142,82,0.6,45,10,8,8,8,8,-8.019754588603973,0.02430019878573425,0.0623626708984375,,0,0,False,False,False
train,0181a5c00933a62d11ea184126b66df4dc035edf60aa64d36be5047bbe370291,31:1|58:1,173,104,0.6,9,4,8,8,8,8,-4.941792190074921,2.477001518628615e-06,8.106231689453125e-06,,0,0,False,False,False
train,01ffc6aaef4d377a1aedbad13fcb97f965ed7bba3cc1637cdc09626126c72155,5:1|8:3|15:1|56:3,123,71,0.6,33,16,8,8,8,8,-6.270392119884491,0.1083017382353472,0.3964214324951172,,0,0,True,False,True
train,048f93f5e3efbc1e3f272b8b3631a5bab62434c2aaba7a0867dc153672a5c454,8:4|62:1|73:1,102,57,0.6,49,12,8,8,8,8,-9.713635683059692,0.04085097284056765,0.11219024658203125,,0,0,True,False,False
train,04b26e181e33f3c63580c2f3b82439dd0dddd9b54fa890b79506e0debcdfd83e,12:4|16:1|52:3,16,4,0.8,18,8,8,8,8,8,-3.6197096407413483,0.06429630356897897,0.19771337509155273,,0,0,False,True,False
train,06378adf8b6b1ce65f15fd18dadd04f7da6e629f795b8d6ab8b12b5dc416fa44,40:1|47:1,98,54,0.6,17,4,8,8,8,8,-5.753445565700531,0.01607658420285621,0.03716850280761719,,0,0,False,False,False
train,064da1b3b8c3922048867b87df27105c6885c4fcc7db12cb0062724cb2e8b8a9,34:2|68:1|81:1,43,22,0.8,14,4,8,8,8,8,-5.081566333770752,5.3258676299306574e-06,1.239776611328125e-05,,0,0,False,False,False
train,0815432caa065978cf9615abfcfc58c47fd6c5ea07206480e3aafdb71a2bf5e1,16:2|29:1|62:1,71,37,0.6,53,16,8,8,8,8,-5.82098263502121,0.05261652269386868,0.13226604461669922,,0,0,False,True,True
train,086b8f8066dc6ffb976629cb9d4998f36b9349711a1176bd097db46aa0287841,8:8|15:2|32:1|56:1,156,94,0.8,26,12,8,8,8,8,-7.425962328910828,0.06126844028691744,0.22309494018554688,,0,0,True,False,False
