pair_id,sample_idx,pair_split,positive_stream,negative_stream,positive_energy_per_atom,negative_energy_per_atom,energy_gap_eV_per_atom,eligible_streams
energy-pair-0000,0,train,6,5,-7.3211164474487305,-7.1915788650512695,0.12953758239746094,8
energy-pair-0001,1,train,4,6,-7.247118949890137,-7.155144214630127,0.09197473526000977,8
energy-pair-0003,3,train,3,2,-2.648350715637207,-2.562068462371826,0.08628225326538086,2
energy-pair-0004,4,train,0,3,-5.9714131355285645,-5.860729217529297,0.11068391799926758,8
energy-pair-0005,5,train,4,0,-4.375931739807129,-4.292733669281006,0.08319807052612305,8
energy-pair-0006,6,train,5,6,-7.251285552978516,-7.165935516357422,0.08535003662109375,8
energy-pair-0011,11,train,7,2,-8.753660202026367,-8.635641098022461,0.11801910400390625,8
energy-pair-0012,12,train,2,5,-4.697602272033691,-1.668544054031372,3.0290582180023193,6
energy-pair-0016,16,train,7,3,-3.6888484954833984,-3.5373997688293457,0.15144872665405273,8
energy-pair-0018,18,validation,7,3,-5.289294242858887,-5.126937389373779,0.16235685348510742,8
energy-pair-0019,19,train,6,4,-3.2683279514312744,-3.0544652938842773,0.21386265754699707,8
energy-pair-0022,22,validation,3,7,-5.389626502990723,-5.125147342681885,0.2644791603088379,8
energy-pair-0023,23,train,0,2,-9.655330657958984,-9.587549209594727,0.06778144836425781,8
energy-pair-0025,25,train,7,1,-5.313871383666992,-5.249283790588379,0.06458759307861328,8
energy-pair-0027,27,validation,3,0,-10.263589859008789,-9.992775917053223,0.2708139419555664,8
energy-pair-0028,28,validation,4,3,-4.676800727844238,-4.614374160766602,0.06242656707763672,7
energy-pair-0030,30,train,0,7,-9.93709659576416,-9.805349349975586,0.13174724578857422,8
energy-pair-0032,32,train,6,0,-6.188676834106445,-6.123129844665527,0.06554698944091797,8
energy-pair-0033,33,validation,2,1,-8.074366569519043,-8.004663467407227,0.0697031021118164,7
energy-pair-0034,34,train,6,3,-7.4628496170043945,-7.377270698547363,0.08557891845703125,8
energy-pair-0035,35,train,2,1,-4.952576637268066,-4.836175918579102,0.11640071868896484,8
energy-pair-0038,38,train,0,2,-7.828473091125488,-7.761699199676514,0.06677389144897461,8
energy-pair-0040,40,train,0,5,-4.549986839294434,-4.432727813720703,0.11725902557373047,8
energy-pair-0041,41,train,0,2,-9.112710952758789,-8.908968925476074,0.20374202728271484,8
energy-pair-0043,43,train,5,1,-5.082117557525635,-4.890714168548584,0.19140338897705078,8
